title,overview,release_date,year,top_genre
Good Manners,"Clara, a lonely nurse from the outskirts of São Paulo, is hired by mysterious and wealthy Ana as the nanny for her unborn child. The two women develop a strong bond, but a fateful night changes their plans.",2017-08-04,2017,Horror
Drácula,"In the early days of sound, it was common for Hollywood studios to produce Hollywood foreign-language versions of their films (usually in French, Spanish and German) using the same sets, costumes and etc. Unfortunately, most of these foreign language versions no longer exist. The Spanish version of Dracula is an exception. In recent years this version has become more highly praised by some than the English language version. The Spanish crew had the advantage of watching the dailies from the English crew's version when they came in for the evening and they would figure out better camera angles and more effective use of lighting in an attempt to ""top"" it. As a result, this version's supporters consider it to be much more artistically effective.",1931-03-11,1931,Horror
The Strange Vice of Mrs Wardh,"Newly married to an older man, Julie returns to Vienna, where a razor wielding slasher is killing women. Jean, her cruel and sadistic former lover, immediately contacts her, certain that only he can satisfy her strange vice. But she rejects him. She also meets George, the handsome cousin of her friend Carol; both are newly rich, thanks to an uncle's death. Julie's husband Neil is away frequently, so George pours on the charm. Meanwhile, it seems that the slasher is now focused on Julie. Bodies pile up, other murders are barely avoided, and George invites her to go away with him. Can it end happily?",1971-01-15,1971,Horror
Friendly Beast,"A restaurant owner going over the edge when an armed robbery is attempted at his establishment. He holds everyone captive at gunpoint – criminals and customers alike – and situations corrode into a nightmare state, guided by manipulation and raw compulsion.",2018-08-09,2018,Horror
mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",2017-09-13,2017,Horror
In a Glass Cage,"A Nazi doctor who had a fetish for young boys feels guilt after torturing and murdering his latest victim, and throws himself off a roof. Some years later, the doctor, confined to an iron lung, accepts as his nurse a boy who secretly witnessed that killing.",1987-03-03,1987,Horror
Halloween: 25 Years of Terror,"A documentary that follows the evolution of the 'Halloween' movies over the past twenty-five years. It examines why the films are so popular and revisits many of the original locations used in the films - seeing the effects on the local community. For the first time, cast, crew, critics and fans join together in the ultimate 'Halloween' retrospective",2006-07-26,2006,Horror
The Beyond,"When New Yorker Liza Merril inherits an old hotel in Louisiana and invests her savings to reopen the place, she doesn't realize that the hotel houses the body of a dead painter murdered decades earlier, nor that it's about to become a gateway to Hell.",1981-04-22,1981,Horror
The Telephone Box,A man gets trapped inside a telephone box and nobody is able to free him. The film won the 1973 International Emmy Award for Fiction.,1972-12-13,1972,Horror
Still Life,"A pill-popping, over-caffeinated driver accidentally hits something. Panic-stricken, he searches for help in a strange and desolate town that offers very little in the form of human kindness.",2005-09-10,2005,Horror
From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1996-01-19,1996,Horror
Mr. Vampire,"The planned reburial of a village elder goes awry as the corpse resurrects into a hopping, bloodthirsty vampire, threatening mankind. Therefore, a Taoist Priest and his two disciples attempt to stop the terror.",1985-11-07,1985,Horror
Season's Greetings,This animated twist on Halloween memories involves the traumatic theft of a candy bag on Halloween night.,1996-10-31,1996,Horror
The Fan,"The hero-worship that Simone has for a pop singer is built to a crescendo until she passes out when she finally sees him up-close in a crowd of fans pushing him for autographs. She is later shocked when he lets her know that he does not love her. In an instant, she is caught ""in a trance"" and feels a murderous urge that is bigger than the both of them.",1982-06-04,1982,Horror
The Spiral Staircase,"In 1916, beautiful young mute Helen is a domestic worker for elderly, ailing Mrs. Warren. Mrs. Warren's two adult sons, Albert (a professor) and womanizing impudent Steven, also live in the Warren mansion. Mrs. Warren becomes concerned for Helen's safety when a rash of murders involving 'women with afflictions' hits the neighborhood. She implores her physician, Dr. Parry, to take Helen away for her own safety. When another murder occurs inside the Warren mansion, it becomes obvious that Helen is in danger.",1946-02-06,1946,Horror
The Addams Family,"When an evil doctor finds out Uncle Fester has been missing for 25 years, he introduces a fake Fester in an attempt to get the Addams family's money. Wednesday has some doubts about the new uncle Fester, but the fake uncle adapts very well to the strange family.",1991-11-22,1991,Horror
Tetsuo: The Iron Man,"A ""metal fetishist"", driven mad by the maggots wriggling in the wound he's made to embed metal into his flesh, runs out into the night and is accidentally run down by a Japanese businessman and his girlfriend. The pair dispose of the corpse in hopes of quietly moving on with their lives. However, the businessman soon finds that he is now plagued by a vicious curse that transforms his flesh into iron.",1989-07-01,1989,Horror
Targets,"A Vietnam veteran quietly plans to go on a mass shooting spree. At the same time, an elderly horror film star prepares to make a public appearance at a drive-in theater.",1968-05-15,1968,Horror
The Ghost Breakers,"After intrepid working girl Mary Carter becomes the new owner of a reputedly haunted mansion located on Black Island near the Cuban coast, a stranger phones warning her to stay away from the castle. Undaunted, Mary sets sail for Cuba with a stowaway in her trunk—wise-cracking Larry Lawrence, a radio announcer who helps Mary get to the bottom of the voodoo magic, zombies and ghosts that supposedly curse the spooky estate.",1940-06-21,1940,Horror
Hellraiser,An unfaithful wife encounters the zombie of her dead lover while the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.,1987-09-11,1987,Horror
From Beyond the Grave,"Four customers purchase (or take) items from Temptations Limited, an antiques shop whose motto is ""Offers You Cannot Resist"". A nasty fate awaits all of them—particularly those who cheat the shop's Proprietor.",1974-02-23,1974,Horror
The Mummy,An ancient Egyptian priest named Imhotep is revived when an archaeological expedition finds his mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep escapes from the field site and searches for the reincarnation of the soul of his lover.,1932-12-22,1932,Horror
The Lodge,"Two siblings spend the night alone with their new stepmother. Stuck in a remote mountain cabin, the trio are terrorised by a supernatural force.",2019-12-06,2019,Horror
Doppelganger,Hayasaki is an inventor working on an Artificial Body. It is not going well and he is stressed out and on the verge of being fired from the research division of his company. His doppelgänger appears to help him out of the rut he has created for himself.,2003-09-27,2003,Horror
The Last Little Red Riding Hood,"A old red riding hood, badly crippled after killing a monster many years ago, comes up with a sinister plan to dance again.",1996-01-01,1996,Horror
Before I Hang,"A physician on death row for a mercy killing is allowed to experiment on a serum using a criminals' blood, but secretly tests it on himself. He gets a pardon, but finds out he's become a Jekyll-&amp;-Hyde.",1940-09-17,1940,Horror
Saw,"Saw is an Australian nine-and-a-half-minute short subject horror film that was later expanded to a full feature film. The story is about David, an orderly at a hospital, who tells his horrific story of being kidnapped and forced to play a vile game of survival.",2003-01-01,2003,Horror
Short Night of Glass Dolls,An American journalist in Prague searches for his girlfriend who has suddenly disappeared.,1971-10-21,1971,Horror
House on Haunted Hill,"Frederick Loren has invited five strangers to a party of a lifetime. He is offering each of them $10,000 if they can stay the night in a house. But the house is no ordinary house. This house has a reputation for murder. Frederick offers them each a gun for protection. They all arrived in a hearse and will either leave in it $10,000 richer or leave in it dead!",1959-02-17,1959,Horror
Bleeder,"Two stories for the price of one: Lenny works in a video shop and tries to get acquainted with the waitress Lea. Leo can't cope with the pressure of becoming a father, leading to trouble with his pregnant wife and especially her brother.",1999-08-06,1999,Horror
Mystery of the Wax Museum,"Sculptor Ivan Igor struggles in vain to prevent his partner from burning his wax museum, and his ""children"". Years later, Igor starts a new museum in New York, but his maimed hands confine him to directing lesser artists. People begin disappearing; Igor takes a sinister interest in Charlotte, fiancée of his assistant Ralph, but arouses the suspicions of roommate, wisecracking reporter Florence.",1933-02-18,1933,Horror
Suspiria,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the troupe's artistic director, an ambitious young dancer and a grieving psychotherapist. Some will succumb to the nightmare, others will finally wake up.",2018-10-11,2018,Horror
House of Wax,"A New York sculptor who opens a wax museum to showcase the likenesses of famous historical figures runs into trouble with his business partner, who demands that the exhibits become more extreme in order to increase profits.",1953-04-10,1953,Horror
The Living and the Dead,"A descent into Hell is triggered when ""Ex-Lord"" Donald Brocklebank finds that he must leave Longleigh House for London to find a way to pay for the medical treatments for his wife Nancy. Alone, his over-protected, delusional, adult son, James, fancies himself in charge of the manor house with his terminally ill mother, and barricades the two of them into the house.",2006-09-23,2006,Horror
The Scarlet Claw,A woman is found dead -- with her throat torn out. Villagers blame a supernatural source but Holmes has other ideas.,1944-05-26,1944,Horror
The Last Time I Saw Richard,"A troubled young man at a mental health institution gets a quiet new roommate. The pair become close friends, bonded over a mutual threat that may or may not be real.",2013-06-15,2013,Horror
10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016-03-10,2016,Horror
Witch's Cradle,Witch’s Cradle is an unfinished Maya Deren film made in the Guggenheim Gallery during a surrealist “Art of this Century” exhibit. It was assembled long after her death by staffers within the preservation department at Anthology Film Archives.,1944-01-01,1944,Horror
Ju-on: The Curse,"A teacher visits the house of one of his students after the boy goes missing, only to have a horrifying excuse for his absence from school.",2000-02-11,2000,Horror
Wicked City,"A peace treaty between the Earth and the Black World, a parallel universe of demons, is coming to an end. Two cops, Taki, a human male, and Maki, a female demon, are assigned to protect a diplomat who will help secure another treaty. A radical group of demons from the Black World are out to assassinate the diplomat and prevent the treaty; only the bond that forms between the two cops can save the Earth from destruction.",1987-04-19,1987,Horror
The Hound of the Baskervilles,"When a nobleman is threatened by a family curse on his newly inherited estate, detective Sherlock Holmes is hired to investigate.",1959-05-04,1959,Horror
And Soon the Darkness,"Two young English women go on a cycling tour of the French countryside. When one of them goes missing, the other begins to search for her. But who can she trust?",1970-09-10,1970,Horror
"Butcher, Baker, Nightmare Maker","Rejected by her lover, the only man left in Cheryl's life is the orphaned nephew she has raised as her own son. She'll stop at nothing to keep Billy with her. When her plans misfire, she is swept up into an insane frenzy that means death to anyone who comes between her and her obsession. But the investigating detective is convinced that Billy is the real killer - and determined to prove it. Madness and fanaticism work together to drag all concerned into a terrifying vortex of blood-letting that adds a nightmarish twist to the classic Oedipus story.",1982-02-24,1982,Horror
What Ever Happened to Aunt Alice?,"As Aunt Alice, Ruth Gordon applies for the job of housekeeper in the Tucson, Arizona home of widow Claire Marrable in order to find out what happened to a missing widowed friend, Edna Tilsney. The crazed Page, left only a stamp album by her husband, takes money from her housekeepers, kills them, and buries the bodies in her garden. Alice is a widow too. So is neighbor Harriet Vaughn. Lots of widows here.",1969-08-20,1969,Horror
Hair High,"Bill Plympton's gothic '50s high-school comedy about a love-triangle that goes terribly wrong. Two murdered teens return from the grave, then go to their prom to get revenge.",2004-04-17,2004,Horror
Red Dragon,"Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer.",2002-09-29,2002,Horror
The Abominable Dr. Phibes,"Famous organist Anton Phibes is horribly disfigured in an automobile accident while rushing to the side of his sick wife and presumed to be dead. Once Phibes learns that his wife died on the operating table, he is convinced the doctors are responsible and begins exacting his revenge on all those involved.",1971-05-18,1971,Horror
Spellbound,A magician meets a weird girl and offers her to work together in his magic show. It's only until a year later that he starts to know her personally and develops a feeling towards her despite her own problems.,2011-12-01,2011,Horror
Firebase,"Set during the Vietnam war, Firebase follows American soldier Hines through an ever-deepening web of science fiction madness.",2017-06-28,2017,Horror
Night of the Eagle,"A skeptical college professor discovers that his wife has been practicing magic for years. Like the learned, rational fellow he is, he forces her to destroy all her magical charms and protective devices, and stop that foolishness. He isn't put off by her insistence that his professional rivals are working magic against him, and her protections are necessary to his career and life.",1962-04-25,1962,Horror
The Black Cat,"After a road accident in Hungary, the American honeymooners Joan and Peter and the enigmatic Dr. Werdegast find refuge in the house of the famed architect Hjalmar Poelzig, who shares a dark past with the doctor.",1934-05-07,1934,Horror
Castle of Blood,"A writer accepts a wager that he cannot spend the night alone in a haunted castle on All Soul's Eve. Once night falls at the castle, several who had been murdered therein return to life, reliving their deaths and seeking to kill the writer for his blood in a vain attempt to stay alive beyond that one night.",1964-02-27,1964,Horror
A Girl Walks Home Alone at Night,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",2014-01-19,2014,Horror
Asura,"Abandoned in the barren wasteland of Kyoto, a savage, enraged orphan does whatever it takes to survive in the wild. When he crosses paths with civilization, he must learn to tame the beast within.",2012-09-29,2012,Horror
The House of Fear,"The Good Comrades are a collection of varied gentlemen who crave one thing - solitude. They reside at Drearcliff House, ancestral home of their eldest member. All seems serene and convivial until one by one the members begin to perish in the most grisly of manners. Foul play is suspected by the Good Comrades' insurance agent, who turns to Sherlock Holmes and Dr. John Watson for guidance.",1945-03-16,1945,Horror
The Forbidden Photos of a Lady Above Suspicion,A repressed young wife's traumatic sexual assault triggers a depraved obsession with her attacker.,1970-11-19,1970,Horror
Family,"Harold is a seemingly peaceful neighbor in a quiet mid-western neighborhood, but underneath, he's a murderous psychopath who sets his eyes on a couple that have moved in across the street.",2006-04-06,2006,Horror
Save the Green Planet!,"A traumatized young man abducts Korean leaders, believing they're toxic reptilian aliens - a fifth column launching a takeover of beloved Earth. Stumped law enforcement geniuses half-seriously hire a disgraced, disheveled private detective with a long-ago history of super-crime solving. The alienated South Korean youngster Lee Byeong-gu builds an isolated basement command post/torture chamber/film studio to force the awful truth out of the slimy, uncooperative politicians and businesspeople, then alert the public. Byeong-gu is helped by his devoted girlfriend, who buys his theories, but wonders if his horrible childhood has colored his thinking.",2003-04-04,2003,Horror
Celia,"Set in mid 1950s Australia, with the fear of communism in the air and the country's farmlands overrun by a plague of rabbits, the film depicts a long hot summer seen through the eyes and over-active imagination of nine year old Celia. Shaken by the death of her beloved Grandmother, Celia finds herself adrift between the cruel games and rituals of childhood and the incomprehensible world of grown-ups. With monstrous creatures stalking her dreams by night, those imagined terrors blur by day with the banal brutality of the adult world and lead to tragic and shocking consequences. Ann Turner's refreshingly unsentimental debut feature is a dark fable of childhood's end. An enthralling film to rank alongside Lord of the Flies, The 400 Blows and Stand By Me.",1989-05-18,1989,Horror
Shutter,"A young photographer Thun and his girlfriend Jane discover mysterious shadows in their photographs after fleeing the scene of an accident. As they investigate the phenomenon, they find other photographs contain similar supernatural images, that Thun's best friends are being haunted as well, and Jane discovers that her boyfriend has not told her everything. It soon becomes clear that you can not escape your past.",2004-09-09,2004,Horror
The Descent,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",2005-07-08,2005,Horror
Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",2019-10-09,2019,Horror
I Walked with a Zombie,"A nurse in the Caribbean turns to voodoo in hopes of curing her patient, an unusual woman whose husband she's fallen in love with.",1943-04-21,1943,Horror
The White Reindeer,"Pirita and Aslak are newly married. However, Aslak is a shepherd and his work takes him away from home for long periods of time, leaving his wife lonely and heartbroken. In an effort to tempt him back, Pirita visits the local shaman, with unexpected and deadly results.",1952-07-25,1952,Horror
The Lost Boys,A mother and her two teenage sons move to a seemingly nice and quiet small coastal California town yet soon find out that it's overrun by bike gangs and vampires. A couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.,1987-07-31,1987,Horror
Naruto Shippuden the Movie: Blood Prison,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",2011-07-30,2011,Horror
The Mummy,"One by one the archaeologists who discover the 4,000-year-old tomb of Princess Ananka are brutally murdered. Kharis, high priest in Egypt 40 centuries ago, has been brought to life by the power of the ancient gods and his sole purpose is to destroy those responsible for the desecration of the sacred tomb. But Isobel, wife of one of the explorers, resembles the beautiful princess, forcing the speechless and tormented monster to defy commands and abduct Isobel to an unknown fate.",1959-09-29,1959,Horror
The Last Wave,"Australian lawyer David Burton agrees with reluctance to defend a group of aborigines charged with murdering one of their own. He suspects the victim was targeted for violating a tribal taboo, but the defendants deny any tribal association. Burton, plagued by apocalyptic visions of water, slowly realizes danger may come from his own involvement with the aborigines and their prophecies.",1977-01-01,1977,Horror
Pit and the Pendulum,"Francis Barnard goes to Spain, when he hears his sister Elizabeth has died. Her husband Nicholas Medina, the son of the most brutal torturer of the Spanish Inquisition, tells him she has died of a blood disease, but Francis finds this hard to believe. After some investigating he finds out that it was extreme fear that was fatal to his sister and that she may have been buried alive!",1961-08-12,1961,Horror
Black Christmas,A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.,1974-10-11,1974,Horror
Martin,"Martin sedates women with a syringe full of narcotics and then slices their wrists with a razor blade so he can drink their blood. Martin, who comes to live with his uncle and cousin in the dying town of Braddock, Pennsylvania, has romantic monochrome visions of vampiric seductions and torch-lit mobs, but it is impossible to tell how seriously he takes them.",1978-07-05,1978,Horror
Herschell Gordon Lewis: The Godfather of Gore,"Take an outrageous ride through this wild world of exploitation films with this thoroughly entertaining documentary, HERSCHELL GORDON LEWIS – THE GODFATHER OF GORE! Featuring cult director John Waters, Drive-In Movie Critic Joe Bob Briggs, Herschell Gordon Lewis himself and a “cast of thousands,” you’ll witness the innocent bare-naked era of Nudie-Cuties before Lewis schocked the world with “Blood Feast,” the first ever gore film!",2010-06-01,2010,Horror
Don't Breathe,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,2016-06-08,2016,Horror
Tales from the Crypt,Five people find themselves in a tomb. The Crypt keeper explains why they are there through a series of frightening stories. Based on the classic comic book.,1972-03-09,1972,Horror
Riki-Oh: The Story of Ricky,"Hard man Ricky is incarcerated in a futuristic prison where ultra-violence is his only means of survival in the corrupt, sadistic system. He must battle his way quite literally 'through' the feared 'gang of four', and undergo multiple tortures before facing the governor in one of the goriest climaxes ever seen.",1991-10-05,1991,Horror
Noroi: The Curse,"A documentary filmmaker explores seemingly unrelated paranormal incidents connected by the legend of an ancient demon called the ""kagutaba.""",2005-08-20,2005,Horror
Sombre,A serial killer stalks a woman he befriended after her car broke down.,1998-08-06,1998,Horror
Carnival of Souls,"Mary Henry ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put the incident behind her, she moves to Utah and takes a job as a church organist. But her fresh start is interrupted by visions of a fiendish man. As the visions begin to occur more frequently, Mary finds herself drawn to the deserted carnival on the outskirts of town. The strangely alluring carnival may hold the secret to her tragic past.",1962-09-26,1962,Horror
Theatre of Blood,A Shakespearean actor takes poetic revenge on the critics who denied him recognition.,1973-03-15,1973,Horror
Dawn of the Dead,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.",2004-03-19,2004,Horror
The Devil-Doll,"Paul Lavond was a respected banker in Paris when he was framed for robbery and murder by crooked associates and sent to Devil's Island. Years later, he escapes with a friend, a scientist who was working on a method to reduce humans to a height of mere inches (all for the good of humanity, of course). Lavond however is consumed with hatred for the men who betrayed him, and takes the scientist's methods back to Paris to exact painful revenge.",1936-07-10,1936,Horror
The Woman in Black,"When a friendless old widow dies in the seaside town of Crythin, a young solicitor is sent by his firm to settle the estate. The lawyer finds the townspeople reluctant to talk about or go near the woman's dreary home and no one will explain or even acknowledge the menacing woman in black he keeps seeing.",1989-12-24,1989,Horror
eXistenZ,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,1999-04-14,1999,Horror
The Revenge of Frankenstein,"Baron Frankenstein, working under the protective pseudonym Dr. Victor Stein, together with his assistant Dr. Kleve, transplants a dwarf's brain into another body and unleashes a deranged being.",1958-06-01,1958,Horror
The Penalty,"Blizzard, deranged from a childhood operation in which both his legs were needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld.",1920-08-15,1920,Horror
Near Dark,A mid-western farm boy reluctantly becomes a member of the undead when a girl he meets turns out to be part of a band of southern vampires who roam the highways in stolen cars.,1987-10-02,1987,Horror
This House Has People in It,"AB Surveillance Solutions, a security company seems to be keeping logs and watching a family as they live a seemingly average life. However it seems that there is something darker going on under the facade.",2016-03-16,2016,Horror
Even the Wind Is Afraid,"This Mexican horror film concerns about a group of college students, led by Claudia (Alicia Bonet) who decide to investigate a local tower that has figured prominently in disturbing reoccurring dreams Claudia has been having. The dream also consists of a hanged woman's body. They are suspended from school for their antics, but Claudia learns from one of the female staff members that the person in the dream is a student who killed herself years before, and that the teacher has seen her ghost.",1968-05-30,1968,Horror
Insidious,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",2010-09-13,2010,Horror
The Host,"Gang-du is a dim-witted man working at his father's tiny snack bar near the Han River. Following the dumping of gallons of toxic waste in the river, a giant mutated squid-like appears and begins attacking the populace.  Gang-du's daughter Hyun-seo is snatched up by the creature and he and his family are taken into custody by the military, who fear a virus spread by the creature.  In detention, Gang-du receives a phone call from Hyun-seo, who is not dead, merely trapped in a sewer.  With his family to assist him, he sets off to find Hyun-seo.",2006-07-27,2006,Horror
Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",1986-12-19,1986,Horror
All the Colors of the Dark,"Jane lives in London with her boyfriend Richard. Her mother was murdered when she was young, she recently lost a baby in a car crash and she's plagued by nightmares of a knife-wielding man. Richard thinks that the cure is vitamins, while Jane's sister recommends psychiatric help. But a new neighbour promises that if she participates in a Black Mass, all her fears will disappear, instead it just seems to bring her nightmares to life.",1972-02-28,1972,Horror
The Hidden,"When average, law-abiding citizens suddenly turn to a life of hedonistic behavior and violent crime, Detective Tom Beck (Michael Nouri) is tasked with helping young FBI agent Lloyd Gallagher (Kyle MacLachlan) determine the cause in this tense, sci-fi thriller.",1987-10-30,1987,Horror
Jack Attack,Jack's favorite babysitter Elizabeth introduces him to the art of pumpkin carving on Halloween night. Nothing will ever be the same.,2013-01-01,2013,Horror
Lesson of the Evil,A popular high school teacher concocts an extreme plan to deal with the rise of bullying and bad behavior among the student body.,2012-11-10,2012,Horror
Tenebre,An American writer in Rome is stalked by a serial killer bent on harassing him while killing all people associated with his work on his latest book.,1982-10-28,1982,Horror
Cut Off,"Thriller set in the world of Forensic Pathology. Coroner Paul Herzfeld finds a capsule in the head of a heavily mutilated corpse, containing a phone number and single word: the name of his daughter.",2018-10-11,2018,Horror
Cyber City Oedo 808,"In the city of Oedo 2808a.d., three Cyber criminals are given two choices, to either rot in jail or to join a special force of the Cyber Police to get possibly one more chance at freedom ever again. For each criminal apprehended, and for each successful mission done, the state will agree to reduce their sentences. Lead by Hasegawa, the new recruits: Sengoku, Gogul, and Benton will bring some hard justice to Oedo and possibly taste freedom again.",1990-06-21,1990,Horror
The Book of Stone,"This classic film tells the story about a little girl Silvya (Lucy Buj) that because of her behaviour is required to be nursed by a special teacher Julia (Marga López) at home. This teacher is experienced in the field and starts looking after the child´s behavior and her friendship with Hugo,a statue of a little boy with a book that is 1,000 years old and supposedly talks to her and make her do things, Her wealthy father Eugenio Rubalcaba (Joaquin Cordero) is very disturbed about his daughters way´s and his new wife Mariana (Norma Lazareno) is trying to cope with her step daugters ideas but fears of the statue. All these characters play their parts well and the atmosphere in this movie is so thick that you can cut it with a knife, locations are well used and the fright factor is there all the time, This is a timeless piece of art that should be taken seriously now a days for next wave horror movie creators.",1969-07-18,1969,Horror
Hocus Pocus,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",1993-07-16,1993,Horror
Parasyte: Part 1,"Alien pods come to Earth and, naturally, start taking over Human Hosts. One such pod only manages to take over one human's, Shin Izumi, right arm. Together they grow and co-exist, all the while the other aliens are making meals of other humans; Shin feels he must put a stop to it all, but his alien, Migi, doesn't see why.",2014-11-29,2014,Horror
The Fourth Man,"An alcoholic writer begins having visions apparently warning him of impending danger. After he delivers a lecture, he begins an affair with a woman from the audience. The visions intensify, however, and begin to threaten his relationship with the woman, since it may be her the visions are warning against.",1983-03-23,1983,Horror
What Ever Happened to Baby Toto?,"A pair of brothers, Baby Toto and Pietro, sons of different mothers, live stealing suitcases at the Termini Station in Rome. After a theft they discover that the stolen suitcase they got from an apparent sweet old lady actually contains a corpse. In an attempt to discard the suitcase they mistakenly exchange it with the one of two German hitchhikers, Helga and Inga.  Forced to retrieve the ""corpus delicti"" they are discovered by Count Mischa who blackmail them: in exchange for his silence with the police, they will help him to kill his rich wife. After killing the woman, and following a binge of marjuana mistaken for lettuce by the brothers, Baby Toto will turn into a sadist serial killer. After killing the Count and a half-dozen people, he will soon start torturing his brother.",1964-03-11,1964,Horror
Son of Frankenstein,"One of the sons of Frankenstein finds his father's monster in a coma and revives him, only to find out he is controlled by Ygor who is bent on revenge.",1939-01-13,1939,Horror
Imprint,"In the Nineteenth Century, in Japan, the American journalist Christopher is traveling through the country searching Komomo, the missing love of his life that he had abandoned years ago promising to come back to her later. He arrives in a shadowy island inhabited by whores and caftans, where he has an encounter with a deformed prostitute that tells that his beloved Komomo had passed away. He drinks sake with her and later he asks the woman to tell the story of her life. The prostitute discloses a dark and cruel story about her life and the sad fate of Komomo.",2006-04-07,2006,Horror
Creature from the Black Lagoon,"A scientific expedition searching for fossils along the Amazon River discover a prehistoric Gill-Man in the legendary Black Lagoon. The explorers capture the mysterious creature, but it breaks free. The Gill-Man returns to kidnap the lovely Kay, fiancée of one of the expedition, with whom it has fallen in love.",1954-02-12,1954,Horror
Eating Raoul,"A relatively boring Los Angeles couple discover a bizarre, if not murderous way to get funding for opening a restaurant.",1982-03-24,1982,Horror
The Ghost of Yotsuya,The ghost of a samurai's wife takes revenge on her husband.,1959-07-01,1959,Horror
Diary,"Winnie Leung becomes more disturbed and depressed after her boyfriend Seth Lau breaks up with her and she turns schizophrenic - imagining events which never occurred, and often living in her own world- until one day she meets a guy named Ray, bearing a close resemblance to Seth. Seeing this, her best friend Yvonne encourages her to go out with Hou so she can forget her misery and start over. As time passes, Winnie realises that the relationship with Ray is so alike her previous relationship with Seth, and when things seem to be running smoothly, the relationship begins to sours, just like with Seth. She begins to doubt his feelings and the lines between reality and fantasy start blurring again for her, leading her to question: did this all exist in the first place?",2006-10-26,2006,Horror
The Grandmother,A young boy plants some strange seeds and they grow into a grandmother.,1970-01-01,1970,Horror
The Ninth Configuration,"Col. Vincent Kane is a military psychiatrist who takes charge of an army mental hospital situated in a secluded castle. Among Kane's many eccentric patients is Capt. Billy Cutshaw, a troubled astronaut in the midst of an existential crisis. Although Kane's own grasp on sanity is questionable, he manages to engage Cutshaw in a series of thoughtful conversations about science and faith that deeply affect the lives of both men.",1980-02-29,1980,Horror
Three… Extremes,"“Three” is an anthology of three horror shorts from three different Asian countries.In ""Dumplings"" an aging actress wishing to reclaim her youth goes to a woman who makes dumplings that supposedly have regenerative properties; however, they contain a gruesome secret ingredient. In ""Box"" a soft spoken young woman has a bizarre recurring nightmare about being buried in a box in the snow. Searching for her long lost sister, she realizes her dreams and reality may possibly be connected. In ""The Cut"" a successful film director and his wife are kidnapped by an extra, who forces the director to play his sadistic games. If he fails, his wife’s fingers will be chopped off one by one every five minutes",2004-08-20,2004,Horror
Creepshow,"Inspired by the E.C. comics of the 1950s, George A. Romero and Stephen King bring five tales of terror to the screen.",1982-11-12,1982,Horror
